artist,popularity,followers,genres,number_of_articles,positive_articles,negative_articles,average_sentiment_score
taylor swift,100,127838324,pop,122,70,32,0.1629154444523297
bad bunny,96,87698874,"reggaeton,trap latino,urbano latino",24,2,22,-0.39123000841750827
drake,96,94133053,"canadian hip hop,canadian pop,hip hop,pop rap,rap",17,7,6,0.040255496137849074
ed sheeran,90,117757199,"pop,singer-songwriter pop,uk pop",54,31,16,0.09798421828514421
billie eilish,96,103636544,"art pop,pop",80,42,18,0.11096318843193842
harry styles,85,33224687,pop,40,19,15,0.16354924242424243
rihanna,92,64178109,"barbadian pop,pop,urban contemporary",29,24,3,0.27481415774519224
beyoncé,87,39171117,"pop,r&b",11,8,0,0.25196280991735537
justin bieber,92,79320329,"canadian pop,pop",15,11,2,0.18295454545454545
dua lipa,88,45164486,"dance pop,pop,uk pop",20,12,4,0.1791360028860029
kanye west,93,28347141,"chicago rap,hip hop,rap",25,10,10,-0.06183001443001443
olivia rodrigo,88,41986790,pop,42,27,8,0.1876573988181131
bruno mars,96,63737509,"dance pop,pop",4,3,1,0.13377525252525252
eminem,93,94370716,"detroit hip hop,hip hop,rap",9,7,0,0.20170454545454544
katy perry,86,35249477,pop,17,9,3,0.17685680332739157
lana del rey,92,42524628,"art pop,pop",33,19,7,0.2421295203113385
miley cyrus,84,25191516,pop,4,1,1,0.011805555555555583
shakira,88,35739060,"colombian pop,dance pop,latin pop,pop",9,4,1,0.0872053872053872
lil nas x,76,12406241,lgbtq+ hip hop,3,3,0,0.4531746031746032
travis scott,94,35213935,"rap,slap house",34,26,2,0.14279745989304815
lady gaga,92,33270038,"art pop,dance pop,pop",29,20,5,0.31117004403642334
karol g,91,52741964,"reggaeton,reggaeton colombiano,urbano latino",10,6,2,0.06791366041366043
j balvin,88,37516883,"reggaeton,reggaeton colombiano,trap latino,urbano latino",5,2,1,0.10000000000000005
jung kook,87,16630239,k-pop,23,15,4,0.19896558755254407
nicki minaj,87,32918702,"hip pop,pop,queens hip hop,rap",25,20,4,0.21155339105339105
jay-z,85,9633241,"east coast hip hop,gangster rap,hip hop,pop rap,rap",15,8,3,0.13268350168350168
camila cabello,83,34209288,"dance pop,pop",15,8,3,0.10246031746031746
ellie goulding,81,12721397,"indietronica,metropopolis,pop,uk pop",4,4,0,0.2652777777777778
sam smith,84,24840759,"pop,uk pop",32,15,14,0.12614134274290523
alicia keys,81,12270758,"neo soul,pop,r&b",6,5,1,0.15004807692307692
zayn,79,23498544,"pop,uk pop",2,1,1,-0.06458333333333333
chris brown,89,24373077,"r&b,rap",5,2,3,-0.065
selena gomez,83,51365874,"pop,post-teen pop",19,10,7,0.2831434647224121
zach bryan,90,5675448,classic oklahoma country,13,9,1,0.2481893106893107
kendrick lamar,97,35133587,"conscious hip hop,hip hop,rap,west coast rap",59,34,12,0.1911836127620026
feid,92,15144174,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",2,0,0,0.0
adele,87,60800041,"british soul,pop,pop soul,uk pop",13,7,5,0.06654734154734156
elton john,85,14134254,"glam rock,mellow gold,piano rock,rock",26,18,3,0.21581335331335333
shawn mendes,85,43885641,"canadian pop,pop,viral pop",18,14,2,0.2295018638768639
john legend,79,7306805,"neo soul,pop,pop soul,urban contemporary",24,18,3,0.2888343253968254
lorde,78,10106142,"art pop,metropopolis,nz pop,pop",12,8,4,0.014654481321147985
avril lavigne,78,11419177,"canadian pop,candy pop,dance pop,pop",3,2,1,0.08055555555555556
meghan trainor,81,15507268,"hip pop,pop",12,5,5,0.1364936568061568
halsey,83,21786345,"electropop,etherpop,indie poptimism,pop",30,20,6,0.24059096921596923
niall horan,76,10036224,pop,11,9,0,0.4257698740653286
blackpink,81,52087567,"k-pop,k-pop girl group,pop",14,8,3,0.0996134817563389
charlie puth,81,23681287,"pop,viral pop",9,7,2,0.20953583453583455
willow,72,2771139,"afrofuturism,pop,post-teen pop,pov: indie",1,0,1,-0.1
bebe rexha,81,9415042,"dance pop,pop",2,1,0,0.30773809523809526
lizzo,70,5710101,"escape room,minnesota hip hop,pop,trap queen",31,23,6,0.2163995950286273
sara bareilles,66,1958245,"acoustic pop,lilith,neo mellow,pop rock,post-teen pop",1,1,0,0.2
norah jones,76,3234093,"contemporary vocal jazz,jazz pop,neo mellow,vocal jazz",6,2,1,0.04797979797979798
j. cole,87,25202868,"conscious hip hop,hip hop,north carolina hip hop,rap",13,11,0,0.26125874125874127
cardi b,80,24770146,"pop,rap",16,11,2,0.19778369633838383
kelly clarkson,82,10657296,"dance pop,pop,talent show",36,22,9,0.1937644049623216
demi lovato,79,26867135,"pop,post-teen pop",1,0,1,-0.1
tove lo,75,3642379,"dance pop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",10,10,0,0.20246753246753246
trippie redd,83,10066109,"melodic rap,rap,trap",2,2,0,0.5522727272727272
hozier,86,8162581,"irish singer-songwriter,modern rock,pop,pov: indie",1,0,0,0.0
maggie rogers,71,1183776,indie pop,6,4,0,0.1323953823953824
jorja smith,74,3507531,"r&b,uk contemporary r&b",6,2,4,-0.021117424242424247
calvin harris,86,22970612,"dance pop,edm,electro house,house,pop,progressive house,uk dance",10,10,0,0.2678246753246753
david guetta,90,26539395,"big room,dance pop,edm,pop,pop dance",8,7,1,0.4568362193362193
pitbull,86,11047558,"dance pop,miami hip hop,pop",5,3,0,0.27476190476190476
enrique iglesias,79,11284374,"dance pop,latin pop,mexican pop",2,0,0,0.0
kelis,64,642505,"dance pop,hip pop,neo soul,urban contemporary",3,2,0,0.2722222222222222
kid cudi,80,7321109,"hip hop,ohio hip hop,pop rap,rap",2,0,2,-0.125
sheryl crow,67,1234219,"lilith,new wave pop,permanent wave,pop rock,singer-songwriter",28,17,7,0.17223900355596783
fetty wap,71,4768181,"new jersey rap,pop rap,rap,southern hip hop,trap",1,0,1,-0.2
becky g,79,15471749,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino",4,3,0,0.35454545454545455
ian bairnson,5,163,,1,0,1,-0.016666666666666663
ally brooke,46,454437,post-teen pop,4,2,1,0.13839285714285712
bonnie raitt,59,753335,"country rock,electric blues,folk,folk rock,mellow gold,singer-songwriter,soft rock",5,3,1,0.18187878787878786
jamie xx,67,879416,"electronica,future garage,indie soul,indietronica",8,5,1,0.31474228896103895
taemin,64,3053671,k-pop,1,1,0,0.1
molly shannon,3,51,,1,1,0,0.06818181818181818
tom morello,72,204771,modern alternative rock,10,6,3,0.1466948051948052
kurtis blow,41,228486,"east coast hip hop,harlem hip hop,old school hip hop",1,1,0,0.2
depeche mode,76,6738480,"dance rock,new romantic,new wave,permanent wave,rock,synthpop",1,0,1,-0.5303030303030303
cissy houston,34,9828,,1,1,0,0.09999999999999998
bruce springsteen,80,6700348,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",24,17,1,0.20454868626743627
deryck whibley,31,370,,1,1,0,0.21212121212121213
spencer sutherland,52,180464,pop soul,1,0,1,-0.3612824675324675
tierra whack,56,508819,alternative r&b,1,1,0,0.8333333333333333
don henley,64,1629519,"album rock,classic rock,mellow gold,singer-songwriter,soft rock,yacht rock",2,1,1,0.27162698412698416
robert kelly,21,6153,"deep comedy,new comedy",1,0,1,-0.00416666666666668
rosé,88,8674192,k-pop,3,1,1,0.0008658008658008592
drew dixon,13,1529,,2,2,0,0.375
d'angelo,61,1244340,"indie soul,neo soul,soul",1,1,0,0.31666666666666665
james hetfield,21,16308,,4,2,1,0.15492424242424244
jo koy,37,8158,deep comedy,1,1,0,0.2571428571428571
reese witherspoon,58,15017,hollywood,2,2,0,0.875
galen johnson,5,24,,1,1,0,0.1875
flashbacks,0,43,,1,1,0,0.04999999999999999
michael stipe,24,60,,7,6,0,0.4485930735930736
ghostface killah,65,952852,"east coast hip hop,hardcore hip hop",3,2,1,0.1002164502164502
reneé rapp,69,987236,alt z,5,4,1,0.18659090909090909
stewart copeland,34,20358,rock drums,2,2,0,0.3392857142857143
kesha,82,8354154,"dance pop,pop",4,2,0,0.14500000000000002
madison beer,75,7374430,pop,1,0,1,-0.31666666666666665
tobias jesso jr.,33,54681,beatlesque,1,1,0,0.08928571428571429
odesza,69,1661633,"chillwave,edm,indietronica",5,1,0,0.06363636363636363
smokey robinson,55,1303892,"classic soul,disco,funk,motown,quiet storm,soul",9,7,0,0.4173941798941799
jo mersa marley,43,38188,modern reggae,1,1,0,0.14069264069264065
foo fighters,78,12209202,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",10,5,1,0.1386363636363636
gracie abrams,91,3457217,alt z,13,8,2,0.11028971028971027
gary clark jr.,56,948551,"electric blues,modern blues rock,rock,soul blues,texas blues",4,2,2,0.0412441724941725
sophie allison,0,5,,5,2,2,-0.10151515151515153
andrew vanwyngarden,33,5988,,1,1,0,0.41818181818181815
jennie,82,8037993,k-pop,13,8,2,0.1366078366078366
david lynch,40,156571,"dark ambient,dark jazz,montana indie",3,2,1,0.36479076479076483
steve lacy,83,5414575,afrofuturism,6,3,1,0.014444444444444454
weyes blood,59,497807,"art pop,chamber pop,dream pop,experimental folk,experimental pop,indie pop",6,5,0,0.13484848484848486
alice cooper,64,3816910,"album rock,classic rock,detroit rock,glam metal,glam rock,hard rock,metal,protopunk,rock",2,2,0,0.5892857142857143
mac miller,84,11110492,"hip hop,pittsburgh rap,rap",1,1,0,0.25
kamala harris,8,398,,23,9,8,0.18383210991906643
gene simmons,29,102799,glam metal,3,1,2,-0.2626984126984127
adam sandler,49,172605,comic,1,1,0,0.525
bowser,27,3630,psybreaks,1,1,0,0.08333333333333333
clairo,82,5546675,"bedroom pop,indie pop,pov: indie",2,1,1,-0.09270833333333334
rhiannon giddens,49,157417,"black americana,folk,new americana,north carolina roots",1,0,0,0.0
chris martin,66,59612,,15,11,3,0.2195701058201058
heartfelt piano,0,0,,1,1,0,0.19999999999999998
death cab for cutie,64,1554117,"alternative rock,chamber pop,indie rock,indietronica,modern alternative rock,modern rock,seattle indie,washington indie",2,1,1,0.24062499999999998
debbie harry,42,49170,new wave pop,1,1,0,0.13333333333333333
faye webster,74,1600153,"atlanta indie,indie pop",7,4,2,0.03133889919604206
joe trohman,0,577,,2,1,1,-0.0033414502164502077
thin lizzy,62,1300027,"album rock,blues rock,classic rock,glam metal,hard rock,irish rock,metal,rock",1,0,1,-0.20681818181818185
shakey graves,61,562606,"austin americana,austindie,indie folk,new americana,seattle indie,stomp and holler",1,1,0,0.13636363636363635
billy joel,79,6483811,"album rock,classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",10,8,1,0.32309523809523805
larry carlton,44,129199,"jazz fusion,jazz guitar,smooth jazz",1,1,0,0.5
emmanuel macron,0,18,,1,0,1,-0.2
sivan,49,54276,viet chill rap,5,5,0,0.23804112554112553
adam lambert,61,1629075,"dance pop,idol,pop,post-teen pop",8,7,1,0.32102904040404046
jazmine sullivan,67,2112966,"hip pop,neo soul,r&b,urban contemporary",9,8,1,0.2424603174603175
ryman,19,3719,,1,1,0,0.13636363636363635
nardo wick,67,1365280,"florida drill,florida rap,southern hip hop",1,0,0,0.0
journey,76,5861157,"album rock,classic rock,hard rock,mellow gold,rock,soft rock",2,1,1,-0.12251082251082251
lil baby,87,19180629,"atl hip hop,atl trap,rap,trap",14,11,2,0.19461386827458255
kick ass,1,7,,1,0,1,-0.16666666666666666
nancy sinatra,68,507527,"lounge,sunshine pop",1,1,0,0.13636363636363635
jessica pratt,24,662,classical soprano,5,2,1,0.18004329004329006
les mccann,35,41521,"jazz funk,jazz piano,soul jazz",1,0,1,-0.1
dickinson,0,75,,1,0,1,-0.4
jackie wilson,57,462540,"chicago soul,classic soul,quiet storm,rock-and-roll,soul",1,1,0,0.4361111111111111
glinda,2,16,,1,0,0,0.0
diplo,79,2708725,"dance pop,edm,electro house,moombahton,pop dance",2,2,0,0.2590909090909091
sing along,1,58,,1,1,0,0.25
bassnectar,53,602152,"bass music,breakbeat,brostep,edm,glitch hop",1,1,0,0.45
schoolboy q,78,4865137,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap",2,1,1,0.10492424242424242
gloria gaynor,65,1097092,"disco,soft rock",1,1,0,1.1666666666666667
dre,43,6252,,16,9,5,0.1329861111111111
megadeth,71,5619430,"alternative metal,hard rock,melodic thrash,metal,old school thrash,rock,speed metal,thrash metal",5,3,1,0.058106060606060606
colin burgess,0,14,,1,1,0,0.06488095238095237
helen mirren,2,94,,1,1,0,0.33636363636363636
keke palmer,54,722275,"pop r&b,post-teen pop,r&b",2,0,0,0.0
angela yee,0,42,,1,1,0,0.3181818181818182
felt,36,49620,"c86,dream pop,tape club,uk post-punk",1,0,1,-0.0625
penn badgley,2,34,,2,1,0,0.016666666666666666
gordon lightfoot,63,944388,"canadian country,canadian singer-songwriter,classic rock,country rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",2,1,1,0.10277777777777777
chris maas,0,7,,2,0,0,0.0
dwight yoakam,61,708645,"bakersfield sound,country,country rock",2,1,0,0.06818181818181818
madi diaz,47,49678,acoustic pop,5,3,1,0.18764069264069264
summer carnival,6,407,,2,1,1,0.02499999999999998
perfume genius,51,396978,"art pop,chamber pop,indie rock,indietronica,neo-synthpop,seattle indie",2,2,0,0.48164983164983166
michael anthony,25,524,,3,3,0,0.5666666666666667
trey songz,71,7531197,"dance pop,r&b,southern hip hop,trap,urban contemporary",2,1,0,0.25
joey king,4,1247,,1,0,0,0.0
barack obama,24,54730,oratory,4,3,1,0.19583333333333341
winner,54,2455711,"k-pop,k-pop boy group",1,0,1,-0.5
cameo,53,649065,"disco,funk,motown,new jack swing,p funk,popping,post-disco,quiet storm,soul",1,0,1,-0.3
osbourne,0,62,,6,3,3,-0.08166666666666667
rob schneider,39,1195,,1,1,0,0.10000000000000002
bully,44,95515,"bubblegrunge,indie punk",1,1,0,0.25
young thug,86,10896970,"atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap",15,13,2,0.14054689754689756
lucy dacus,69,531972,"art pop,indie pop",11,3,3,0.03840515545061
billy crystal,41,6804,movie tunes,3,1,0,0.16666666666666666
jeff tweedy,42,94921,"alternative country,chamber pop,roots rock,singer-songwriter",12,9,1,0.182114898989899
chanté moore,44,581923,"contemporary r&b,r&b,urban contemporary",1,0,0,0.0
jimmy eat world,70,1641669,"alternative metal,alternative rock,emo,modern power pop,modern rock,neon pop punk,pop punk,pop rock,post-grunge,punk,rock",3,3,0,0.15277777777777776
brad paisley,67,2834914,"contemporary country,country,country road",3,3,0,0.5078354978354979
roy haynes,36,22991,"avant-garde jazz,bebop,contemporary post-bop,hard bop,jazz,jazz drums",1,0,1,-2.7755575615628914e-17
moses sumney,55,377723,"alternative r&b,art pop,indie soul,la pop",2,1,1,-0.04163961038961039
anuel aa,89,39277198,"reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino",2,2,0,0.22499999999999998
hannah spearritt,0,61,,1,0,0,0.0
john cameron mitchell,20,3285,,1,1,0,0.39583333333333337
lenny kravitz,74,3408250,"permanent wave,rock",10,9,0,0.4472402597402597
lizzy mcalpine,75,1133579,"alt z,boston folk,indie pop,singer-songwriter pop",4,4,0,0.4509036796536796
oasis,81,10977497,"beatlesque,britpop,madchester,permanent wave,rock",2,0,2,-0.6277777777777778
david byrne,54,398772,"art pop,art punk,art rock,permanent wave,singer-songwriter,solo wave",10,6,1,0.2051660839160839
sleater-kinney,45,270363,"alternative rock,indie rock,noise pop,olympia wa indie,riot grrrl",3,2,0,0.23939393939393938
fka twigs,66,1295505,"afrofuturism,alternative r&b,art pop,escape room,experimental r&b,trip hop",4,2,1,0.2799242424242424
phillip boykin,17,119,,1,0,0,0.0
mofi,0,45,,1,1,0,0.04545454545454545
anyma,69,583073,stutter house,1,1,0,0.16136363636363635
cody jinks,65,1071517,"classic texas country,modern southern rock,outlaw country",1,1,0,0.6
childish gambino,81,13632628,"atl hip hop,hip hop,rap",8,1,7,-0.14502525252525253
kim petras,75,1140950,"alt z,dance pop,pop,transpop",15,8,5,0.25306998556998556
yung miami,48,104177,miami hip hop,5,1,2,0.10270995670995671
dijon,59,375094,bedroom soul,1,1,0,0.25
aaron dessner,37,12211,,13,8,4,0.08492757242757243
jimi hendrix,70,6957348,"acid rock,album rock,alternative rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",3,2,1,0.06212121212121211
tesla,52,965654,"album rock,glam metal,hard rock,sacramento indie",1,1,0,0.38636363636363635
martell,31,2021,deep pop edm,1,0,0,0.0
eli janney,0,5,,1,1,0,0.5348484848484849
róisín murphy,54,382213,"art pop,electronica,electropop,neo-synthpop,trip hop",1,1,0,0.4166666666666667
joshua bassett,59,1091684,singer-songwriter pop,2,1,1,0.011363636363636354
danger mouse,65,250003,"alternative hip hop,mashup",2,0,2,-0.17007575757575757
coco lee,46,130062,"mandopop,taiwan pop",1,1,0,0.10000000000000002
janelle monáe,68,1481391,"afrofuturism,alternative r&b,atl hip hop,neo soul,r&b",5,5,0,0.3666161616161616
kylie minogue,75,2106222,"australian dance,australian pop,dance pop,eurodance,new wave pop",6,4,1,0.11767676767676767
angel olsen,53,492939,"alternative americana,art pop,chamber pop,countrygaze,dream pop,experimental pop,indie pop,indie rock,noise pop,singer-songwriter",7,6,1,0.2760899814471243
reginae carter,36,1069,,1,0,0,0.0
jesus is king,5,35,,1,1,0,0.3371212121212121
simon le bon,30,3529,,3,1,2,0.12222222222222223
julien baker,68,501741,"ambient folk,indie pop",11,4,4,0.0959012199921291
khalid,85,16490775,"pop,pop r&b",5,3,1,0.4133333333333334
rauw alejandro,94,24888261,"puerto rican pop,reggaeton,trap latino,urbano latino",7,4,2,0.0003968253968254113
eric clapton,73,6106863,"album rock,blues rock,classic rock,electric blues,mellow gold,rock,singer-songwriter,soft rock",7,3,2,0.047371675943104506
brian eno,62,774163,"abstract,ambient,art pop,art rock,compositional ambient,experimental,experimental ambient,fourth world,glam rock,minimalism,singer-songwriter",2,1,0,0.1375
aretha franklin,72,3524129,"classic soul,jazz blues,memphis soul,soul,southern soul,vocal jazz",5,4,1,0.26666666666666666
madonna,81,8234718,"dance pop,pop",33,18,13,0.13680714067077704
gary young,3,585,experimental indie rock,1,1,0,0.39166666666666666
paul mccartney,77,4983473,"classic rock,mellow gold,rock,soft rock",25,17,5,0.18062525252525252
young miko,80,3603660,"trap latino,urbano latino",3,2,1,0.019444444444444476
geordie greep,55,61907,crank wave,1,0,1,-0.049999999999999996
agatha christie,48,309041,"classic russian rock,russian punk,russian rock",1,0,1,-0.10000000000000003
courtney love,43,249322,alternative rock,2,2,0,0.75
stray kids,86,17577595,"k-pop,k-pop boy group,pop",11,8,0,0.2184494293585203
charles esten,40,32200,country pop,1,0,0,0.0
tyrone davis,42,185079,"chicago soul,southern soul",1,1,0,0.16666666666666666
rachel chinouriri,61,229310,"indie pop,uk pop",2,0,1,-0.04924242424242424
lena dunham,7,1457,,1,0,0,0.0
