title,link,summary,category
A 'B.A.P.S.' Remake Could Happen — But Cardi B and Megan Thee Stallion Won't be in It,https://www.rollingstone.com/music/music-news/cardi-b-denies-baps-remake-rumors-megan-thee-stallion-1234693658/,"“I don’t even know where that rumor even came about,"" Cardi B wrote after the film's original director suggested the pair expressed interest in the film",W.A.P.S not B.A.P.S.
Lewis Capaldi Grows Anxious Under Pressure in 'How I'm Feeling Now' Trailer,https://www.rollingstone.com/music/music-news/lewis-capaldi-documentary-how-im-feeling-now-heading-to-netflix-1234693464/,The documentary arrives to Netflix on April 5,Racing Against the Clock
"For The First Time In Decades, People Bought More Vinyl Than CDs Last Year",https://www.rollingstone.com/music/music-news/riaa-vinyl-units-surpass-cds-1234693223/,"Vinyl sold more units than CDs in 2022, according to a year-end report from the Recorded Industry Association of America",Positive Spin
Ed Sheeran Will Explore Grief on 'Subtract' Single 'Eyes Closed': 'I Guess Music Helps Heal',https://www.rollingstone.com/music/music-news/ed-sheeran-preview-subtract-eyes-closed-snippet-1234693437/,The album arrives May 5 with the first single coming March 24,Dancing in the Dark
The Cure Set First North American Tour in Seven Years,https://www.rollingstone.com/music/music-news/the-cure-north-american-tour-2023-1234693447/,"""There will be no 'platinum' or 'dynamically priced' tickets on this tour,"" Robert Smith and company pledge of 34-date trek",Just Like Heaven
GloRilla Concert Venue Where 2 Died in Crowd Surge Has License Revoked by Rochester Police,https://www.rollingstone.com/music/music-news/rochester-police-revoke-license-venue-crowd-surge-glorilla-concert-1234693430/,"“It is one step we can immediately take to ensure that the events of Sunday night are not repeated,” Rochester police chief David Smith said",'Not Repeated'
"Christine and the Queens Enlist Madonna, 070 Shake for New Album 'Paranoïa, Angels, True Love'",https://www.rollingstone.com/music/music-news/christine-and-the-queens-madonna-070-shake-new-album-paranoia-angels-true-love-1234693100/,The triple-LP follow-up to 2022'sRedcar les Adorables Étoilearrives June 9,Queens
Rolling Stone Brings the Future of Music to Life With A Four-Night SXSW Showcase,https://www.rollingstone.com/music/music-news/future-of-music-sxsw-1234691885/,"ROLLING STONE is taking over SXSW 2023 with a massive four-night lineup. Officially titled Future of Music, the event boasts an astounding 20-act showcase with 5 acts per night from March 14 through March 17. Taking place at the iconic ACL Moody Theater, a 2,750-person capacity state-of-the-art live music venue, the space is a quintessential […]",
Your Spotify Feed Is About to Look More Like TikTok,https://www.rollingstone.com/music/music-news/spotify-is-going-to-look-more-like-tiktok-1234692793/,"The streaming platform's vertical interface includes previews, ""advanced recommendations,"" video and animated images",Streaming
Janet Jackson to Chronicle Upcoming Tour for New Documentary 'Family First',https://www.rollingstone.com/music/music-news/janet-jackson-new-documentary-family-first-1234693055/,"The follow-up to last year'sJanet Jacksonwill also look at her efforts to reunite the family band with her brother, Randy Jackson",Family First
"J.I.D., Jay Wheeler, Remi Wolf, Koffee, and More to Play Rolling Stone's Future of Music Showcase at SXSW",https://www.rollingstone.com/music/music-news/rolling-stone-future-of-music-sxsw-showcase-lineup-1234692135/,"Cuco, Mariah the Scientist, Saba, Chlöe Bailey, and other rising stars will also appear at the four-day event in Austin, part of our ongoing Future of Music series",SXSW 2023
"Bruno Mars, Brandi Carlile, the Killers Lead 2023 Bourbon & Beyond Fest",https://www.rollingstone.com/music/music-news/bruno-mars-brandi-carlile-the-killers-2023-bourbon-and-beyond-fest-1234692932/,"Duran Duran, Black Keys, Billy Strings, Black Crowes, Blondie, and more also tapped for four-day festival in Louisville, Kentucky",Festival SZN
"Jane's Addiction Debut Their First New Song in 10 Years, 'True Love'",https://www.rollingstone.com/music/music-news/janes-addiction-debut-new-song-true-love-1234692786/,"The band closed out a recent show in Bakersfield, California, with the psych-tinged ballad",Jane Says
Lucy Dacus Revisits 'Night Shift' Heartbreak Five Years Later in Official Music Video,https://www.rollingstone.com/music/music-news/lucy-dacus-night-shift-music-video-1234692665/,The song appeared on the singer's 2017 sophomore albumHistorian,Better Late Than Never
"World's Largest Talent Agencies, Music Companies Co-Sign Live Nation's Call for Anti-Scalping Laws",https://www.rollingstone.com/music/music-news/live-music-companies-co-sign-live-nation-anti-scalping-laws-1234692406/,"Over 20 companies including CAA, WME, Universal Music Group and Full Stop Management announced their support of the live music giant's push for artist-minded ticketing laws",Ticket War
Lil Keed's First Posthumous LP 'Keed Talk to 'Em 2' Arriving This Month,https://www.rollingstone.com/music/music-news/lil-keed-first-posthumous-lp-keed-talk-to-em-2-track-list-self-employed-1234692705/,"YSL Records drops video for ""Self Employed"" ahead of album's March 17 release",RIP KEED
"Real Earth, Wind & Fire Sues Fake Earth, Wind & Fire for Trademark Infringement, Deceiving Fans",https://www.rollingstone.com/music/music-news/earth-wind-and-fire-copyright-infringement-lawsuit-1234692630/,"Funk legends' rights holders file lawsuit against company operating an EWF ""legacy reunion,"" accusing them of ""misleading consumers""","Earth, Wind & Liar"
Monsta X and Jessi Added to Inaugural We Bridge Music Festival Lineup,https://www.rollingstone.com/music/music-news/we-bridge-music-festival-2023-enhypen-kang-daniel-1234670605/,The artists join previously announced performers ENHYPEN and Kang Daniel at the three-day Las Vegas event that celebrates the best in Asian entertainment and culture,K-POP IN VEGAS
RM Is Confident About BTS Eventually Reuniting — But Knows 'Nothing Lasts Forever',https://www.rollingstone.com/music/music-news/rm-discusses-bts-future-military-enlistment-1234692595/,"""I think BTS will make it. It will come together again when we finish our military service, and we will look for new synergies between us to enter a second phase,"" the singer shared in a recent interview",BTS Will Make It
Harry Styles Brings Back the 'Banana Song' — And Gives the Tune a Veggie-Inspired Remix,https://www.rollingstone.com/music/music-news/harry-styles-brings-back-banana-song-1234692567/,"Singer also addressed his viral moment from the weekend, where he posted and then deleted a photo of himself wearing a One Direction shirt",Veggie Tunes
GloRilla Concert Venue Was Known Locally as a ‘Death Trap.' Now It’s Actually Become One,https://www.rollingstone.com/music/music-news/glorilla-rochester-concert-stampede-1234692068/,"Fans who attended the Rochester, New York show had heard rumors about the venue's safety practices, but they didn't think a night out would leave two dead and eight others injured",Crowd Hysteria
Rufus Wainwright Previews New LP With 'Masochistic' Folk Ballad Featuring Brandi Carlile,https://www.rollingstone.com/music/music-news/rufus-wainwright-brandi-carlile-down-in-the-willow-garden-1234692313/,"The singer-songwriter's upcoming albumFolkocracyfeatures an all-star cast including John Legend, David Byrne, and more",'Blatantly Brutal'
Suga's Solo Tour Tickets Are Selling Out Fast — Here's How You Can Still See the BTS Member's Concert,https://www.rollingstone.com/music/music-news/buy-suga-agust-d-tour-tickets-online-1234692236/,"The first BTS member to hit the road solo, here's where you can still buy tickets to Suga's sold-out Agust D world tour online",SUGA GOES SOLO
"Kid Cudi, 21 Savage Top 2023 Hard Festival Lineup",https://www.rollingstone.com/music/music-news/hard-festival-2023-lineup-kid-cudi-21-savage-skrillex-1234692028/,"L.A. fest will also feature Skrillex back-to-back with Four Tet, Dillon Francis, Ludacris, Fat Joe, and more",Go Hard
"Jason Isbell, Allison Russell, Sheryl Crow to Perform for LGBTQ+ Rights at Tennessee Concert",https://www.rollingstone.com/music/music-news/tennessee-lgbtq-laws-drag-ban-benefit-concert-jason-isbell-sheryl-crow-1234692045/,"Paramore's Hayley Williams, Brothers Osborne, Hozier and more are on the bill at ""Love Rising Tennessee,"" which takes place amid a flurry of anti-LGBTQ+ laws being enacted in the state",Human Rights
