artist,popularity,followers,genres
Taylor Swift,100,127838324,pop
The Weeknd,96,95971547,"canadian contemporary r&b, canadian pop, pop"
Bad Bunny,96,87698874,"reggaeton, trap latino, urbano latino"
Drake,96,94133053,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Ed Sheeran,90,117757199,"pop, singer-songwriter pop, uk pop"
Billie Eilish,96,103636544,"art pop, pop"
Harry Styles,85,33224687,pop
Ariana Grande,95,101781212,pop
Rihanna,92,64178109,"barbadian pop, pop, urban contemporary"
Beyoncé,87,39171117,"pop, r&b"
Post Malone,91,46002055,"dfw rap, melodic rap, pop, rap"
Justin Bieber,92,79320329,"canadian pop, pop"
Dua Lipa,88,45164486,"dance pop, pop, uk pop"
Kanye West,93,28347141,"chicago rap, hip hop, rap"
Olivia Rodrigo,88,41986790,pop
Bruno Mars,96,63737509,"dance pop, pop"
SZA,92,24983147,"pop, r&b, rap"
Eminem,93,94370716,"detroit hip hop, hip hop, rap"
Doja Cat,87,32108682,"dance pop, pop"
Katy Perry,86,35249477,pop
Lana Del Rey,92,42524628,"art pop, pop"
Miley Cyrus,84,25191516,pop
Shakira,88,35739060,"colombian pop, dance pop, latin pop, pop"
ROSALÍA,80,8397869,"pop, r&b en espanol"
Lil Nas X,76,12406241,lgbtq+ hip hop
Travis Scott,94,35213935,"rap, slap house"
Lady Gaga,92,33270038,"art pop, dance pop, pop"
KAROL G,91,52741964,"reggaeton, reggaeton colombiano, urbano latino"
J Balvin,88,37516883,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Coldplay,91,55235863,"permanent wave, pop"
Jung Kook,87,16630239,k-pop
BTS,87,77108746,"k-pop, k-pop boy group, pop"
Nicki Minaj,87,32918702,"hip pop, pop, queens hip hop, rap"
JAY-Z,85,9633241,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Badshah,78,27539332,"desi hip hop, desi trap, filmi, modern bollywood"
Camila Cabello,83,34209288,"dance pop, pop"
Ellie Goulding,81,12721397,"indietronica, metropopolis, pop, uk pop"
Sam Smith,84,24840759,"pop, uk pop"
Marshmello,85,33946078,"brostep, edm, pop, progressive electro house"
Alicia Keys,81,12270758,"neo soul, pop, r&b"
ZAYN,79,23498544,"pop, uk pop"
Chris Brown,89,24373077,"r&b, rap"
Keinemusik,77,363409,melodic house
Maluma,88,35292019,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Selena Gomez,83,51365874,"pop, post-teen pop"
Imagine Dragons,89,55560542,"modern rock, pop, rock"
Zach Bryan,90,5675448,classic oklahoma country
Kendrick Lamar,97,35133587,"conscious hip hop, hip hop, rap, west coast rap"
Feid,92,15144174,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Peso Pluma,93,17927184,"corridos tumbados, sad sierreno"
Eslabon Armado,79,5936701,"corrido, corridos tumbados, sad sierreno, sierreno"
Glass Animals,77,4351788,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Tones And I,70,2958058,australian pop
The Chainsmokers,83,20696473,pop
Adele,87,60800041,"british soul, pop, pop soul, uk pop"
Elton John,85,14134254,"glam rock, mellow gold, piano rock, rock"
Shawn Mendes,85,43885641,"canadian pop, pop, viral pop"
John Legend,79,7306805,"neo soul, pop, pop soul, urban contemporary"
Lorde,78,10106142,"art pop, metropopolis, nz pop, pop"
Avril Lavigne,78,11419177,"canadian pop, candy pop, dance pop, pop"
Bill Withers,75,1818044,"classic soul, funk, quiet storm, soul"
Meghan Trainor,81,15507268,"hip pop, pop"
Halsey,83,21786345,"electropop, etherpop, indie poptimism, pop"
Niall Horan,76,10036224,pop
OneRepublic,85,17719396,"piano rock, pop"
BLACKPINK,81,52087567,"k-pop, k-pop girl group, pop"
Charlie Puth,81,23681287,"pop, viral pop"
Jason Derulo,79,12303149,"dance pop, pop"
James Arthur,82,19205030,"pop, talent show, uk pop"
WILLOW,72,2771139,"afrofuturism, pop, post-teen pop, pov: indie"
A$AP Rocky,86,15493779,"east coast hip hop, hip hop, rap"
Bebe Rexha,81,9415042,"dance pop, pop"
Florence + The Machine,78,6935972,"baroque pop, modern rock, neo mellow, uk alternative pop"
P!nk,82,17393595,"dance pop, pop"
Lizzo,70,5710101,"escape room, minnesota hip hop, pop, trap queen"
Sara Bareilles,66,1958245,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Norah Jones,76,3234093,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz"
The Kid LAROI,85,5919648,australian hip hop
J. Cole,87,25202868,"conscious hip hop, hip hop, north carolina hip hop, rap"
XXXTENTACION,89,47979544,"emo rap, miami hip hop, rap"
Future,93,19576077,"atl hip hop, hip hop, rap, southern hip hop, trap"
Cardi B,80,24770146,"pop, rap"
Kelly Clarkson,82,10657296,"dance pop, pop, talent show"
Demi Lovato,79,26867135,"pop, post-teen pop"
mgk,79,5426936,"ohio hip hop, pop rap"
Tove Lo,75,3642379,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
Logic,75,6103788,"conscious hip hop, hip hop, pop rap, rap"
Trippie Redd,83,10066109,"melodic rap, rap, trap"
Ciara,72,6854059,"dance pop, hip pop, pop, r&b, urban contemporary"
Hozier,86,8162581,"irish singer-songwriter, modern rock, pop, pov: indie"
Maggie Rogers,71,1183776,indie pop
Jorja Smith,74,3507531,"r&b, uk contemporary r&b"
Kygo,82,8509981,"edm, pop, pop dance, tropical house"
Calvin Harris,86,22970612,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
David Guetta,90,26539395,"big room, dance pop, edm, pop, pop dance"
Maroon 5,87,43455229,pop
Pitbull,86,11047558,"dance pop, miami hip hop, pop"
Enrique Iglesias,79,11284374,"dance pop, latin pop, mexican pop"
Daddy Yankee,88,35724593,"latin hip hop, reggaeton, trap latino, urbano latino"
Luis Fonsi,75,10666827,"latin pop, puerto rican pop"
Barry Wordsworth,53,2399,"classical performance, orchestral performance"
Eva Poured,43,79,rain
Daughter,62,1383222,"chamber pop, shimmer pop"
Kelis,64,642505,"dance pop, hip pop, neo soul, urban contemporary"
Kid Cudi,80,7321109,"hip hop, ohio hip hop, pop rap, rap"
Sheryl Crow,67,1234219,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
Jagarizzar,19,328,melanesian pop
Fetty Wap,71,4768181,"new jersey rap, pop rap, rap, southern hip hop, trap"
Becky G,79,15471749,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
Arena Louvor,27,22742,sertanejo gospel
Ian Bairnson,5,163,
Betty Wright,48,295202,"classic soul, quiet storm, soul, southern soul"
Lovely Rapper Shridhar,37,65874,
Ally Brooke,46,454437,post-teen pop
Bonnie Raitt,59,753335,"country rock, electric blues, folk, folk rock, mellow gold, singer-songwriter, soft rock"
Jamie xx,67,879416,"electronica, future garage, indie soul, indietronica"
Josaffahr Vevo,22,57,
Dead When I Found Her,15,6027,"ebm, electro-industrial, futurepop, industrial metal"
TAEMIN,64,3053671,k-pop
Molly Shannon,3,51,
Tom Morello,72,204771,modern alternative rock
Kurtis Blow,41,228486,"east coast hip hop, harlem hip hop, old school hip hop"
