artist,popularity,followers,genres
Taylor Swift,100,127753251,pop
The Weeknd,96,95904656,"canadian contemporary r&b, canadian pop, pop"
Bad Bunny,96,87665108,"reggaeton, trap latino, urbano latino"
Drake,96,94100797,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Ed Sheeran,90,117733441,"pop, singer-songwriter pop, uk pop"
Billie Eilish,96,103575676,"art pop, pop"
Harry Styles,85,33220066,pop
Ariana Grande,95,101745029,pop
Rihanna,92,64158553,"barbadian pop, pop, urban contemporary"
Beyoncé,87,39163338,"pop, r&b"
Post Malone,91,45993668,"dfw rap, melodic rap, pop, rap"
Justin Bieber,92,79292541,"canadian pop, pop"
Dua Lipa,88,45157602,"dance pop, pop, uk pop"
Kanye West,93,28332251,"chicago rap, hip hop, rap"
Olivia Rodrigo,88,41957449,pop
Bruno Mars,96,63658721,"dance pop, pop"
SZA,92,24953200,"pop, r&b, rap"
Eminem,93,94319320,"detroit hip hop, hip hop, rap"
Doja Cat,87,32097577,"dance pop, pop"
Katy Perry,86,35236605,pop
Lana Del Rey,92,42483974,"art pop, pop"
Miley Cyrus,84,25185305,pop
Shakira,88,35725033,"colombian pop, dance pop, latin pop, pop"
ROSALÍA,80,8397186,"pop, r&b en espanol"
Lil Nas X,76,12406696,lgbtq+ hip hop
Travis Scott,94,35183053,"rap, slap house"
Lady Gaga,92,33248061,"art pop, dance pop, pop"
KAROL G,91,52709396,"reggaeton, reggaeton colombiano, urbano latino"
J Balvin,88,37509997,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Coldplay,91,55209659,"permanent wave, pop"
Jung Kook,87,16623347,k-pop
BTS,87,77096667,"k-pop, k-pop boy group, pop"
Nicki Minaj,87,32911312,"hip pop, pop, queens hip hop, rap"
JAY-Z,85,9630583,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Badshah,78,27533815,"desi hip hop, desi trap, filmi, modern bollywood"
Camila Cabello,83,34202595,"dance pop, pop"
Ellie Goulding,81,12718937,"indietronica, metropopolis, pop, uk pop"
Sam Smith,84,24832565,"pop, uk pop"
Marshmello,85,33943946,"brostep, edm, pop, progressive electro house"
Alicia Keys,81,12269532,"neo soul, pop, r&b"
ZAYN,79,23494655,"pop, uk pop"
Chris Brown,89,24358183,"r&b, rap"
Keinemusik,77,362758,melodic house
Maluma,88,35278713,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Selena Gomez,83,51357684,"pop, post-teen pop"
Imagine Dragons,89,55546754,"modern rock, pop, rock"
Zach Bryan,90,5668050,classic oklahoma country
Kendrick Lamar,97,35098576,"conscious hip hop, hip hop, rap, west coast rap"
Feid,92,15123292,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Peso Pluma,93,17900989,"corridos tumbados, sad sierreno"
Eslabon Armado,79,5934637,"corrido, corridos tumbados, sad sierreno, sierreno"
Glass Animals,77,4350810,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Tones And I,70,2958041,australian pop
The Chainsmokers,83,20693587,pop
Adele,87,60772556,"british soul, pop, pop soul, uk pop"
Elton John,85,14130271,"glam rock, mellow gold, piano rock, rock"
Shawn Mendes,85,43875945,"canadian pop, pop, viral pop"
John Legend,79,7306106,"neo soul, pop, pop soul, urban contemporary"
Lorde,78,10105169,"art pop, metropopolis, nz pop, pop"
Avril Lavigne,78,11417102,"canadian pop, candy pop, dance pop, pop"
Bill Withers,75,1817449,"classic soul, funk, quiet storm, soul"
Meghan Trainor,81,15505069,"hip pop, pop"
Halsey,83,21784562,"electropop, etherpop, indie poptimism, pop"
Niall Horan,76,10035152,pop
OneRepublic,85,17715739,"piano rock, pop"
BLACKPINK,81,52072976,"k-pop, k-pop girl group, pop"
Charlie Puth,81,23673659,"pop, viral pop"
Jason Derulo,79,12301527,"dance pop, pop"
James Arthur,82,19192902,"pop, talent show, uk pop"
